

163189線路,#genre#
金光布袋戲,https://o11.163189.xyz/stream/live/jgbdx/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=2309413148
ASTRO AOD,https://o11.163189.xyz/stream/live/aod/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=
ASTRO AOD,https://o11.163189.xyz/stream/live/aod/
ASTRO AEC,https://o11.163189.xyz/stream/live/aec/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=3142350728
ASTRO AEC,https://o11.163189.xyz/stream/live/aec/
ASTRO QJ,https://o11.163189.xyz/stream/live/qj/
ASTRO 欢喜台,https://o11.163189.xyz/stream/live/hxt/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=
ASTRO 欢喜台,https://o11.163189.xyz/stream/live/hxt/
IQIYI,https://o11.163189.xyz/stream/live/iqiyi/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=999368942
IQIYI,https://o11.163189.xyz/stream/live/iqiyi/
八度空间,https://cdn6.163189.xyz/163189/8tv
CHANNEL 5,https://cdn6.163189.xyz/163189/ch5
CHANNEL 8,https://cdn6.163189.xyz/163189/ch8
CHANNEL U,https://cdn6.163189.xyz/163189/chu

